,key,key confidence,duration,hotness,energy,loudness,tempo,artist name,title
0,1,0.736,218.93179,0.4019975433642836,0.0,-11.197,92.198,b'Casual',"b""I Didn't Mean To"""
1,6,0.169,148.03546,0.4174996449709784,0.0,-9.843,121.274,b'The Box Tops',b'Soul Deep'
2,8,0.643,177.47546,0.34342837829688244,0.0,-9.689,100.07,b'Sonora Santanera',b'Amor De Cabaret'
3,0,0.751,233.40363,0.4542311565706205,0.0,-9.013,119.293,b'Adam Ant',b'Something Girls'
4,2,0.092,209.60608,0.40172368550367865,0.0,-4.501,129.738,b'Gob',b'Face the Ashes'
5,5,0.635,267.7024,0.385470550555821,0.0,-9.323,147.782,b'Jeff And Sheri Easter',b'The Moon And I (Ordinary Day Album Version)'
6,1,0.0,114.78159,0.2619411773808474,0.0,-17.302,111.787,b'Rated R',b'Keepin It Real (Skit)'
7,4,0.0,189.57016,0.6055071356905752,0.0,-11.642,101.43,b'Tweeterfriendly Music',b'Drop of Rain'
8,4,0.717,269.81832,0.33227574659906806,0.0,-13.496,86.643,b'Planet P Project',b'Pink World'
9,7,0.053,266.39628,0.42270564102939107,0.0,-6.697,114.041,b'Clp',b'Insatiable (Instrumental Version)'
10,5,0.354,218.77506,0.29626895431146333,0.0,-10.021,146.765,b'JennyAnyKind',b'Young Boy Blues'
11,7,0.07,245.21098,0.35155586118563925,0.0,-7.545,117.975,b'Wayne Watson',b'The Urgency (LP Version)'
12,9,0.205,226.35057,0.3794821702804675,0.0,-6.632,130.04,b'Andy Andy',b'La Culpa'
13,10,0.0,191.84281,0.25193652476242323,0.0,-7.75,137.334,b'Bob Azzam',b'Auguri Cha Cha'
14,3,0.524,307.3824,0.5530719914619753,0.0,-8.346,125.197,b'Lionel Richie',b'Tonight Will Be Alright'
15,7,1.0,491.12771,0.4479354804795022,0.0,-8.576,119.826,b'Blue Rodeo',b'Floating'
16,8,0.041,228.5971,0.33080635685585685,0.0,-16.11,127.756,b'Richard Souther',b'High Tide'
17,6,0.06,599.24853,0.30667609347902947,0.0,-8.032,99.273,b'Faiz Ali Faiz',b'Sohna Nee Sohna Data'
18,7,0.725,290.29832,0.5134632897021558,0.0,-5.271,150.062,b'Tesla',b'Caught In A Dream'
19,7,0.011,165.69424,0.0,0.0,-6.787,138.331,b'lextrical',b'Synthetic Dream'
20,1,0.799,151.84934,0.29153972708877773,0.0,-15.221,86.186,b'Jimmy Wakely',b'Broken-Down Merry-Go-Round'
21,11,0.809,220.78649,0.3285530150180186,0.0,-8.514,110.382,b'Alice Stuart',b'Kassie Jones'
22,2,0.596,269.58322,0.37825468551016656,0.0,-8.05,111.874,b'Elena',b'Setanta matins'
23,7,0.381,207.77751,0.5418889720336469,0.0,-4.264,166.862,b'The Dillinger Escape Plan',b'Setting Fire to Sleeping Giants'
24,10,0.697,124.86485,0.3062422642462862,0.0,-12.332,137.522,b'SUE THOMPSON',b'James (Hold The Ladder Steady)'
25,7,0.53,225.09669,0.3636513650591166,0.0,-5.908,164.672,b'Five Bolt Main',b'Made Like This (Live)'
26,6,0.687,338.31138,0.42270564102939107,0.0,-6.486,125.006,b'Clp',b'Superconfidential'
27,5,0.762,186.48771,0.3499126116745628,0.0,-4.516,90.022,b'Tim Wilson',b'I Think My Wife Is Running Around On Me (Taco Hell)'
28,8,0.812,168.25424,0.3796711247498673,0.0,-9.616,127.025,b'Willie Bobo',b'Spanish Grease'
29,8,0.569,156.39465,0.2992303679293693,0.0,-18.051,95.957,b'Faye Adams',b'Crazy Mixed Up World'
30,6,0.381,342.56934,0.4161730646266773,0.0,-11.939,110.189,b'Terry Callier',b'Do You Finally Need A Friend'
31,4,0.283,484.62322,0.45278947675222264,0.0,-15.335,138.007,b'John Wesley',b'The Emperor Falls'
32,10,0.254,164.80608,0.4182165181949368,0.0,-10.922,130.1,b'The Shangri-Las',b'Twist and Shout'
33,4,0.384,133.32853,0.3846110839616365,0.0,-9.983,160.839,b'Billie Jo Spears',b'It Makes No Difference Now'
34,7,0.299,173.66159,0.42631795640769016,0.0,-7.762,41.993,"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",b'Laws Patrolling (Album Version)'
35,9,0.724,313.12934,0.39273367554668775,0.0,-9.512,189.646,b'Sierra Maestra',b'\xc2\xbfD\xc3\xb3nde va Chichi?'
36,4,0.726,450.84689,0.48801984168567314,0.0,-9.063,130.586,b'Butthole Surfers',"b'Barking Dogs (From ""Piouhgd"")'"
37,8,0.532,303.09832,0.41168895978577885,0.0,-8.879,128.292,b'Despina Vandi',b'OUTE ENA EFHARISTO'
38,3,0.0,128.83546,0.38265197113973687,0.0,-17.699,90.932,b'Javier Navarrete',b'Midnight Swim'
39,1,0.611,456.30649,0.294861261887382,0.0,-19.478,89.667,b'Jacob Young',b'In A Subtle Way'
40,7,0.673,198.73914,0.3931219335710068,0.0,-7.469,115.061,"b""Scarlet's Remains""",b'Spin'
41,2,0.421,95.68608,0.4675384440100101,0.0,-2.022,115.887,b'The Suicide Machines',b'Burning In The Aftermath'
42,9,0.301,271.49016,0.7357656929506414,0.0,-10.358,139.333,b'The Rolling Stones',b'Angie (1993 Digital Remaster)'
43,0,0.863,226.66404,0.3500785789894733,0.0,-12.716,117.271,b'Roberto Torres',b'Sabor Guajiro'
44,3,0.544,190.48444,0.4427658420289504,0.0,-15.663,102.428,b'Loudon Wainwright III',b'Human Cannonball'
45,2,0.0,277.78567,0.4666288889016846,0.0,-6.944,89.984,b'R.L. Burnside',b'Glory Be'
46,1,0.754,248.78975,0.544257505724526,0.0,-7.805,116.721,b'Stevie Ray Vaughan',b'Crossfire'
47,7,0.98,195.3171,0.45281783769711387,0.0,-10.7,123.142,b'John Hammond',"b""I Can't Be Satisfied"""
48,0,0.522,175.72526,0.3942171989010042,0.0,-10.93,141.919,b'Casiotone For The Painfully Alone',b'Nashville Parthenon'
49,10,0.005,217.23383,0.3345773601190987,0.0,-9.493,95.596,b'Ec8or',b'Cocain Ducks'
50,11,0.425,344.05832,0.4793084593382274,0.0,-9.253,154.953,b'The New York Dolls',b'Human Being'
51,7,0.391,251.42812,0.42791424698295477,0.0,-12.009,86.091,b'Eliane Elias',b'The More I See You'
52,7,0.715,269.7922,0.41224060053560735,0.0,-11.043,90.218,b'Lost Boyz',b'Certain Things We Do'
53,11,0.641,206.05342,0.40439264015477133,0.0,-11.506,133.144,b'The Germs',b'Forming'
54,2,0.105,190.04036,0.38347574490669173,0.0,-14.179,205.317,b'Yamandu Costa',b'Mafu\xc3\xa1'
55,9,0.222,241.162,0.500691340913453,0.0,-8.531,180.149,b'Chris Rea',b'Driving Home For Christmas'
56,0,0.61,122.64444,0.3384148184832545,0.0,-8.541,102.538,b'Perrey And Kingsley',b'Spooks In Space'
57,0,0.442,207.0722,0.5236990777653908,0.0,-6.629,84.164,b'Eurythmics',b'Tous Les Gar\xc3\xa7ons Et Les Filles'
58,7,0.666,300.79955,0.3835242473277272,0.0,-13.33,124.175,b'Francis Dunnery',b'Too Much Saturn'
59,7,0.458,228.46649,0.48165586241245567,0.0,-12.412,137.004,b'John Cale',b'Movement 4 [from Kiss] (Album Version)'
60,7,0.527,239.59465,0.3807045358244573,0.0,-21.552,106.33,b'Suzanne Ciani',b'Stream'
61,11,0.172,228.93669,0.3968558693253486,0.0,-8.686,107.961,b'Vickie Winans',b'Make Me Over'
62,1,0.108,165.61587,0.45755390983649336,0.0,-6.222,174.287,b'The Berzerker',b'Deform (live)'
63,0,0.612,187.92444,0.7888059351620142,0.0,-5.907,116.823,b'Kings Of Leon',b'Wicker Chair'
64,0,0.29,276.50567,0.30004649036641506,0.0,-4.638,101.972,b'Edith Lefel',"b""An ti chans'"""
